time,open,high,low,close,Plot,Plot
2015-01-21,212.1,230,211,228.08,238.70999999999898,1
2015-01-22,228.05,242,225.29,234.7,234.49066666666565,1
2015-01-23,234.7,236.98,225.13,233.12,231.1513333333323,1
2015-01-24,233.37,249.77,229.03,248.66,228.3613333333323,1
2015-01-25,248.94,259.39,245,254.73,226.94133333333232,1
2015-01-26,254.72,315,254.65,276.01,227.524,1
2015-01-27,276.01,280.37,250,265.09,227.28,1
2015-01-28,265.55,269.97,226.35,234.5,227.7086666666667,1
2015-01-29,234.49,239.33,220,233.01,231.10933333333332,1
2015-01-30,233.7,243.89,224.22,226.44,232.218,1
2015-01-31,226.45,234.03,213.1,215.8,232.70466666666664,1
2015-02-01,215.91,233.32,211.02,226.92,234.42666666666665,1
2015-02-02,226.86,247.5,222.5,238.99,236.29066666666665,1
2015-02-03,238.86,248.42,222.66,227.96,237.07466666666667,1
2015-02-04,227.81,233,220.23,227.78,238.11933333333334,1
2015-02-05,227.78,228.8,210.12,216.47,237.34533333333331,1
